Season,Salary Cap,Luxury Tax,1st Apron,2nd Apron,BAE,Non-Taxpayer MLE,Taxpayer MLE,Team Room MLE
2025,140588000,170814000,178132000,188931000,4668000,12822000,5168000,7983000
2024,136021000,165294000,172346000,182794000,4516000,12405000,5000000,7723000
2023,123655000,150267000,156983000,,4105000,10490000,6479000,5401000
2022,112414000,136606000,143002000,,3732000,9536000,5890000,4910000
2021,109140000,132627000,138928000,,3623000,9258000,5718000,4767000
2020,109140000,132627000,138928000,,3623000,9258000,5718000,4767000
2019,101869000,123733000,129817000,,3382000,8641000,5337000,4449000
2018,99093000,119266000,125266000,,3290000,8406000,5192000,4328000
2017,94143000,113287000,117287000,,2203000,5628000,3477000,2898000
2016,70000000,84740000,88740000,,2139000,5464000,3376000,2814000
2015,63065000,76829000,80829000,,2077000,5305000,3278000,2732000
2014,58679000,71748000,75748000,,2016000,5150000,3183000,2652000
2013,58044000,70307000,74307000,,1957000,5000000,3090000,2575000
2012,58044000,70307000,74307000,,1900000,5000000,3000000,2500000
2011,58044000,70307000,,,2080000,5765000,,
2010,57700000,69920000,,,1990000,5854000,,
2009,58680000,71150000,,,1910000,5585000,,
2008,55630000,67865000,,,1830000,5356000,,
2007,53135000,65420000,,,1750000,5215000,,
2006,49500000,61700000,,,1670000,5000000,,
2005,43870000,,,,1600000,4903000,,
2004,43840000,54556722,,,1500000,4917000,,
2003,40271000,52880000,,,1400000,4546000,,
2002,42500000,,,,1300000,4538000,,
2001,35500000,,,,1200000,2250000,,
2000,34000000,,,,1100000,2000000,,
